['김*빈 '],['2020.09.08'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 235']",['235'],['여친 사줬는데 정말 좋아해요. 푹신하고 편하대요'],"['평소 사이즈', None]","['발볼', None]","['사이즈', None]"
['강*민 '],['2020.08.24'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 250']",['250'],['친구들이 신고 있길래 편해보여서 주문해서 신어봤더니\n다른 슬리퍼는 못신겠어요ㅋㅋ정말 최고입니다\n여자친구꺼 하나 주문 해야겠습니다'],"['평소 사이즈', None]","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
['김*우 '],['2020.08.18'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 265']",['265'],['정말 편하게 잘 신고있습니다.\n역시 알파바운스 알파바운스 한게 아니에요.\n한치수 크게 신는것이 이쁘고 잘 맞습니다.'],"['평소 사이즈', '260']","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
['정*희 '],['2019.05.31'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 245']",['245'],['역시 브랜드는 좋네요.중학생된딸이 아디다스좋아해서 구매했는데~쿠션좋구.발등사이즈.조절하게찍찍이도 돼있구. 심플하게 디자인이 나왔구~마음에 쏙.듭니다.평소240신는 우리딸이 신었는데 245샀지만 넉넉하게 잘맞구. 이뻐요.지인들에게 강~추.합니다. 잘신을게요. 발등덥는부분도 쿠션이 들어있어서 .신발이 부드러움그자체. 너무좋네요.단아쉬운건 물에젖었을때 발바닥.힌부분사이~발등.쿠션이젖으면 안될것같은.느낌빼고는 다. 만족입니다'],"['평소 사이즈', '240']","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
['김*혁 '],['2020.08.29'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 275']",['275'],['푹신하고 좋은데 비오는날 신으면 안말라서 냄새 개남 ㅋ'],"['평소 사이즈', None]","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
['김*주 '],['2020.08.25'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 260']",['260'],['중학생아들이 학교갈때 신고가네요ㅎㅎ\n편하고 대형마트보다 저렴해서 직구로 구매했어요'],"['평소 사이즈', None]","['발볼', None]","['사이즈', None]"
['이*원 '],['2020.08.24'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 255']",['255'],['전 애인을 선물해 줬는데 ...\n편하고 좋다더군요 ....\n이거 신으면서 제 생각 많이 해줬음 해요......'],"['평소 사이즈', '255']","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
['이*영 '],['2020.08.19'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 260']",['260'],['폭신하고 좋아요\n\n예송 배송기간보다 훨씬 빨왓어요\n\n그래서 더 좋아요ㅋㅋㅋ'],"['평소 사이즈', '260']","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
['정*훈 '],['2020.08.26'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 265']",['265'],['와 걸을때 레알 하는 나는 느낌이레요 레전드 ...'],"['평소 사이즈', '265']","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
['이*은 '],['2020.07.21'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 245']",['245'],['사이즈가 클까봐 걱정했는데 딱맞게왔네요\n아빠 슬리퍼가 낡아서 사드렸습니다\n너무 좋아하시네요\n푹신하다고 발이 편하다하셨어요~\n기간은 좀걸렸지만 가격이 너무 착해서 대만족입니다\n아빠만족도도 높았구요\n감사합니다'],"['평소 사이즈', '245']","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
['곽*윤 '],['2020.08.04'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 260']",['260'],"['배송도 솔직히 여유로워서 느리다고 생각안했고 발바닥 쿠션도 역시 아디다스,,, 너무좋고 제품 완벽해요,, 넘 좋습니당']","['평소 사이즈', '240']","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
['정*순 '],['2020.07.04'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 255']",['255'],['남편발 255\n나 235\n내가 신고 운동한바퀴하고와도 너무 너무 편해요\n정말 싸게 잘삿어요\n굿~~~'],"['평소 사이즈', '255']","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
['신*연 '],['2020.07.03'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 245']",['245'],['미리 오프라인 가게에 가서 사이즈를 맞춰두고 샀는데 쿠팡에서 오프라인 보다 좀 더 저렴한 가격에 구매할 수 있었어요 !! 슬리퍼가 뭐 이리 비싸 이러시는 분들도 계시겠지만 아디다스 알파바운스 BA8775는 가격 값 합니다. 걸을 때 푹신함과 뛸 때 무리가 없고 무엇보다 찍찍이로 발 볼을 조정할 수 있다는 점이 가장 좋은 것 같아요 ! 정말 후회 없이 산 제품입니다 !!'],"['평소 사이즈', '운동화 250(5단위로 나오면 245),실내화 240']","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
['김*미 '],['2020.08.11'],"['아디다스 알파바운스 슬라이드 슬리퍼 BA8775, 265']",['265'],['남자친구사줬어요 편하게 잘신네요 정사이즈에요'],"['평소 사이즈', None]","['발볼', '정사이즈예요']","['사이즈', '정사이즈예요']"
